Slot_Name	Coordinates (Lat, Lng)
F1	[51.50655550010232, 7.457337342202664], [51.506558004313526, 7.457297779619695], [51.50650792006311, 7.457298785448075], [51.50650583321816, 7.457338683307172]
F2	[51.506558004313526, 7.457297779619695], [51.50656009115611, 7.45725553482771], [51.50651146769932, 7.457257211208344], [51.50650792006311, 7.457298785448075]
F3	[51.50656009115611, 7.45725553482771], [51.50656301273555, 7.457216642796994], [51.50651418059743, 7.457216307520867], [51.50651146769932, 7.457257211208344]
F4	[51.50656301273555, 7.457216642796994], [51.506564682209444, 7.457176074385644], [51.506517519548694, 7.457176074385644], [51.50651418059743, 7.457216307520867]
F5	[51.506564682209444, 7.457176074385644], [51.50656676904468, 7.457134164869785], [51.506519815077574, 7.457134500145913], [51.506517519548694, 7.457176074385644]
F6	[51.50656676904468, 7.457134164869785], [51.506569690622854, 7.457093462347984], [51.50652294534402, 7.457093596458436], [51.506519815077574, 7.457134500145913]
F7	[51.506569690622854, 7.457093462347984], [51.506572612201026, 7.457052759826183], [51.50652607561024, 7.457051686942578], [51.50652294534402, 7.457093596458436]
F8	[51.506572612201026, 7.457052759826183], [51.5065755337792, 7.457012057304382], [51.506528997191865, 7.457010447978973], [51.50652607561024, 7.457051686942578]
F9	[51.5065755337792, 7.457012057304382], [51.50657845535737, 7.456971354782581], [51.50653254482645, 7.45696920901537], [51.506528997191865, 7.457010447978973]
F10	[51.50657845535737, 7.456971354782581], [51.50658137693554, 7.45693065226078], [51.506535257723286, 7.456927970051766], [51.50653254482645, 7.45696920901537]
F11	[51.50658137693554, 7.45693065226078], [51.506584298513715, 7.45688994973898], [51.50653838798869, 7.456887736916543], [51.506535257723286, 7.456927970051766]
F12	[51.506584298513715, 7.45688994973898], [51.50658722009189, 7.456849247217179], [51.506541309569506, 7.456845492124558], [51.50653838798869, 7.456887736916543]
F13	[51.50658722009189, 7.456849247217179], [51.50659014167006, 7.456808544695378], [51.506543187728525, 7.4568039178848275], [51.506541309569506, 7.456845492124558]
F14	[51.50659014167006, 7.456808544695378], [51.50659306324823, 7.456767842173577], [51.50654736141494, 7.456761673092843], [51.506543187728525, 7.4568039178848275]
F15	[51.50659306324823, 7.456767842173577], [51.506595984826404, 7.456727139651776], [51.50655007431089, 7.4567217752337465], [51.50654736141494, 7.456761673092843]
F16	[51.506595984826404, 7.456727139651776], [51.50659890640457, 7.456686437129975], [51.506552995890964, 7.4566805362701425], [51.50655007431089, 7.4567217752337465]
F17	[51.50659890640457, 7.456686437129975], [51.50660182798274, 7.456645734608174], [51.50655570878661, 7.456639967858792], [51.506552995890964, 7.4566805362701425]
F18	[51.50660182798274, 7.456645734608174], [51.506604749560914, 7.456605032086373], [51.506558839050584, 7.456601075828076], [51.50655570878661, 7.456639967858792]
F19	[51.506604749560914, 7.456605032086373], [51.506607671139086, 7.456564329564572], [51.50656196931433, 7.4565595015883455], [51.506558839050584, 7.456601075828076]
F20	[51.506607671139086, 7.456564329564572], [51.50661059271726, 7.456523627042771], [51.506564682209444, 7.456519268453121], [51.50656196931433, 7.4565595015883455]
F21	[51.50649289477723, 7.457363158464433], [51.506496025045536, 7.457320243120194], [51.50643279358423, 7.457310520112515], [51.50643008068129, 7.457351088523866]
F22	[51.506496025045536, 7.457320243120194], [51.506499363998145, 7.457276992499829], [51.5064363412263, 7.4572665989398965], [51.50643279358423, 7.457310520112515]
F23	[51.506499363998145, 7.457276992499829], [51.50650124215889, 7.457234747707845], [51.506438219389636, 7.457224689424039], [51.5064363412263, 7.4572665989398965]
F24	[51.50650124215889, 7.457234747707845], [51.5065041637421, 7.457191161811353], [51.5064417670313, 7.457181103527547], [51.506438219389636, 7.457224689424039]
F25	[51.5065041637421, 7.457191161811353], [51.50650645927164, 7.457149252295495], [51.506446149411765, 7.457138858735562], [51.5064417670313, 7.457181103527547]
F26	[51.50650645927164, 7.457149252295495], [51.50651000690798, 7.457106336951257], [51.50644948836802, 7.457093596458436], [51.506446149411765, 7.457138858735562]
F27	[51.50651000690798, 7.457106336951257], [51.50651313717509, 7.4570630863308915], [51.50645366206301, 7.457050681114198], [51.50644948836802, 7.457093596458436]
F28	[51.50651313717509, 7.4570630863308915], [51.506516267441995, 7.457021847367288], [51.50645679233401, 7.457007765769959], [51.50645366206301, 7.457050681114198]
F29	[51.506516267441995, 7.457021847367288], [51.50651835428649, 7.456977590918542], [51.50645992260479, 7.456965856254102], [51.50645679233401, 7.457007765769959]
F30	[51.50651835428649, 7.456977590918542], [51.506521693237474, 7.456935346126557], [51.506462844190644, 7.456921935081483], [51.50645992260479, 7.456965856254102]
F31	[51.506521693237474, 7.456935346126557], [51.50652461481936, 7.456891089677812], [51.50646534840696, 7.456878349184991], [51.506462844190644, 7.456921935081483]
F32	[51.50652461481936, 7.456891089677812], [51.50652628429467, 7.456850856542588], [51.50646889604648, 7.456835433840752], [51.50646534840696, 7.456878349184991]
F33	[51.50652628429467, 7.456850856542588], [51.50652878850748, 7.456807270646096], [51.50647223500108, 7.456792518496513], [51.50646889604648, 7.456835433840752]
F34	[51.50652878850748, 7.456807270646096], [51.50653254482645, 7.456765696406365], [51.50647599132473, 7.456748932600021], [51.50647223500108, 7.456792518496513]
F35	[51.50653254482645, 7.456765696406365], [51.506535883776394, 7.456726133823395], [51.50647953896341, 7.4567070230841646], [51.50647599132473, 7.456748932600021]
F36	[51.506535883776394, 7.456726133823395], [51.50653922272608, 7.456682547926903], [51.50648308660186, 7.456663101911546], [51.50647953896341, 7.4567070230841646]
F37	[51.50653922272608, 7.456682547926903], [51.506541309569506, 7.456642985343934], [51.506486842924595, 7.456620521843434], [51.50648308660186, 7.456663101911546]
F38	[51.506541309569506, 7.456642985343934], [51.5065438137815, 7.456603422760964], [51.50649018187787, 7.456579618155957], [51.506486842924595, 7.456620521843434]
F39	[51.5065438137815, 7.456603422760964], [51.50654757009922, 7.456556484103204], [51.50649352083092, 7.456536702811719], [51.50649018187787, 7.456579618155957]
F40	[51.50655049167948, 7.456513568758965], [51.50654757009922, 7.456556484103204], [51.50649352083092, 7.456536702811719], [51.50649685978372, 7.456490769982339]
